County,Population,Population Change Since 2014,Median Age,Population Under Age 18,Population Aged 65+,Veteran Population,Agricultural Land,Percent Change in Ag Land since 2017,Number of Farms,Percent Change in Num of Farms since 2017,Broadband Internet Access 2022 ,Broadband Internet Access 2019 ,Computing Device Access 2022 ,Computing Device Access 2019 ,Percent Children in Poverty,Average Weekly Wage,Per Capita Income 2022,Gross Domestic Product 2022,Gross Domestic Product 2021,Pre-K Enrollment 2023,Pre-K Enrollment 2022,K-12 Current Expense Funding per pupil,Total Funding for K-12,Opportunity Youth 2022,Opportunity Youth 2019,Adults Without a High School Diploma,Educational Attainment,Food Insecurity 2022,Food Insecurity 2021,Traditional Medicaid Enrollment %,Medicaid Expansion Enrollment %,Uninsured Residents 2021,Uninsured Residents 2020,"ER visits for Drug Overdose Per 100,000","Overdose Deaths Per 100,000",Property Tax Rates 2024,Property Tax Rates 2023,Property Tax Levy Per Capita,Taxable Property Valuation Per Capita,Sales Taxes
Alamance,184114,28556,40.22,0.2051,0.1908,0.0514,68769,-0.1408,724,0.0056,0.86,0.78,0.82,0.79,0.15,978,48980,6675,6675,0.4744,0.464,1971,48.83,0.1249,0.1011,0.1107,0.4768,0.143,0.114,0.312,0.0728,0.14,0.145,168,34.2,0.469,0.432,601.4,139210,0.0675
Alexander,36464,-359,44.23,0.1844,0.2163,0.0535,50799,-0.0618,535,-0.0165,0.84,0.74,0.77,0.74,0.209,841,48035,884,844,0.3487,0.3383,1734,7.38,0.167,0.1631,0.1145,0.3691,0.149,0.116,0.294,0.0834,0.129,0.125,163,29.3,0.65,0.67,745,111194,0.07
Alleghany,11464,540,45.93,0.1675,0.2668,0.0725,63298,-0.1033,435,-0.029,0.79,0.76,0.72,0.72,0.253,779,44464,303,303,1.127,0.9863,2171,2.86,0.1432,0.1597,0.2228,0.3773,0.18,0.158,0.3109,0.0921,0.184,0.17,135,44.9,0.597,0.597,1093,183090,0.07
Anson,22059,-3079,40.29,0.2108,0.1949,0.0633,84695,-0.0074,421,0.0218,0.83,0.75,0.71,0.69,0.326,857,50187,837,762,0.6095,1.0131,N/A, N/A ,0.1033,0.1552,0.1399,0.2314,0.161,0.125,0.4601,0.1418,0.13,0.128,160,28.6,0.777,0.777,784,100898,0.07
Ashe,27196,514,48.34,0.167,0.271,0.0553,84498,-0.2304,760,-0.1204,0.79,0.7,0.79,0.74,0.206,859,44433,778,763,0.7879,1.2952,2390,6.3,0.0554,0.0561,0.0904,0.4385,0.162,0.131,0.2791,0.0797,0.137,0.138,96,25.7,0.44,0.44,977.2,222082,0.07
Avery,17395,-357,46.13,0.1526,0.2364,0.0513,22598,-0.212,335,-0.0456,0.81,0.71,0.78,0.73,0.205,808,45653,630,632,0.7561,0.8537,2889,5.4,0.0551,0.0587,0.1234,0.3872,0.153,0.131,0.2515,0.0666,0.155,0.163,103,28.5,0.4,0.4,1411.9,352969,0.0675
Beaufort,43593,-2822,46.1,0.1912,0.269,0.0736,139853,0.0027,259,-0.1645,0.81,0.69,0.78,0.74,0.282,906,54554,1862,1876,0.5159,0.4664,2590,15.58,0.1857,0.1354,0.1211,0.4051,0.157,0.132,0.3677,0.1136,0.138,0.137,81,51.1,0.625,0.625,921.1,147379,0.0675
Bertie,16739,-3011,40.6,0.1945,0.21,0.0648,161862,0.0928,288,-0.1084,0.64,0.58,0.69,0.63,0.349,812,49409,641,629,0.7935,0.8911,1852,3.03,0.1854,0.1846,0.1683,0.3683,0.16,0.141,0.436,0.115,0.117,0.114,69,31.7,0.93,0.865,765.4,88483,0.07
Bladen,28850,-4001,38.26,0.223,0.1952,0.0728,146195,-0.1893,423,-0.1738,0.8,0.7,0.7,0.7,0.275,884,48424,1414,1416,0.9734,0.8716,1739,8.02,0.2067,0.2241,0.0879,0.3607,0.175,0.147,0.463,0.1192,0.145,0.155,208,58.1,0.785,0.785,963.3,122716,0.0675
Brunswick,166886,51407,53.5,0.1394,0.3252,0.087,45150,0.0102,238,0.0303,0.93,0.85,0.9,0.87,0.165,951,58281,5647,5377,0.5195,0.4935,3694,54.43,0.1241,0.1515,0.0811,0.4827,0.135,0.112,0.2242,0.0814,0.122,0.117,77,45.5,0.342,0.342,1075.5,314470,0.0675
Buncombe,279331,26947,44.04,0.1688,0.2266,0.063,78245,0.0825,1074,0.0009,0.86,0.82,0.83,0.82,0.154,1076,61560,15337,14892,0.4622,0.4104,3908,113.27,0.1137,0.1154,0.0717,0.6035,0.145,0.119,0.2393,0.0746,0.126,0.145,199,57.8,0.5176,0.498,924.9,185727,0.07
Burke,89581,2034,43.44,0.1904,0.2234,0.0583,44077,0.1407,473,-0.0689,0.8,0.72,0.76,0.71,0.185,886,44631,2616,2598,0.7598,0.6393,1568,18.5,0.182,0.2216,0.1418,0.4074,0.172,0.15,0.3343,0.1099,0.146,0.151,272,44.2,0.56,0.56,657.4,117389,0.0675
Cabarrus,248866,55137,39.6,0.218,0.1477,0.045,64227,0.0088,630,0.0016,0.91,0.89,0.88,0.88,0.099,1008,54754,8667,8457,0.4731,0.3784,2307,97.5,0.1383,0.1286,0.0718,0.5884,0.115,0.089,0.2459,0.0647,0.108,0.116,155,34.2,0.576,0.74,982.5,132766,0.07
Caldwell,81884,608,43.88,0.1863,0.2125,0.0574,35964,-0.0534,430,0.0462,0.83,0.78,0.74,0.75,0.239,939,44761,2388,2394,0.6156,0.5918,1402,14.8,0.167,0.1618,0.1273,0.3836,0.16,0.135,0.3607,0.1016,0.138,0.143,257,43.8,0.63,0.63,677.2,107493,0.0675
Camden,11291,1264,42.67,0.1818,0.1875,0.108,54621,-0.078,76,-0.0617,0.93,0.86,0.89,0.87,0.092,929,56906,172,174,2.16,1.7419,1562,3,0.0987,0.1279,0.0509,0.5552,0.12,0.094,0.1739,0.045,0.123,0.135,92,36.8,0.73,0.73,1125.6,154194,0.0675
Carteret,70822,2709,48.88,0.1548,0.2758,0.1136,60950,-0.0289,94,-0.4051,0.91,0.85,0.86,0.85,0.17,846,63531,2555,2559,0.9703,1.0927,3399,27.42,0.1181,0.1273,0.0608,0.5459,0.146,0.117,0.2337,0.0812,0.127,0.117,181,56.1,0.34,0.34,851,250288,0.0675
Caswell,21960,-1225,45.12,0.1656,0.2412,0.0565,84373,-0.1955,412,-0.1643,0.77,0.65,0.78,0.67,0.24,870,41155,331,346,0.7532,0.8824,1331,2.78,0.1719,0.1813,0.156,0.3291,0.149,0.128,0.3339,0.0922,0.136,0.138,80,31,0.585,0.735,597.3,81260,0.0675
Catawba,168239,12196,42.81,0.1996,0.2032,0.0551,61631,-0.0299,608,-0.047,0.86,0.81,0.8,0.78,0.164,1046,55223,9242,9060,0.5508,0.4639,2015,44.04,0.1535,0.1334,0.0911,0.4718,0.148,0.12,0.2864,0.0819,0.135,0.135,201,40.7,0.3985,0.3985,730.8,183383,0.07
Chatham,82500,15220,50.69,0.1601,0.2965,0.0536,114051,0.076,1076,-0.0358,0.85,0.78,0.86,0.84,0.11,958,79769,1887,1824,0.6772,1.072,3376,34.39,0.119,0.096,0.1488,0.6131,0.126,0.097,0.1697,0.0483,0.126,0.122,67,33.6,0.725,0.685,1282.5,187224,0.07
Cherokee,29361,2151,52.24,0.1569,0.3237,0.098,25410,-0.0315,246,-0.1119,0.79,0.74,0.8,0.77,0.245,832,40021,822,796,0.6337,0.538,2434,7.26,0.0532,0.0724,0.0764,0.478,0.173,0.147,0.3455,0.1233,0.156,0.148,87,48.9,0.61,0.61,868.1,142317,0.07
Chowan,13896,-493,42.99,0.1985,0.2506,0.059,73439,0.372,134,0.3814,0.81,0.69,0.7,0.71,0.253,904,51005,589,577,1.2027,1.0588,N/A, N/A ,0.098,0.1228,0.1177,0.3582,0.167,0.141,0.3467,0.0925,0.126,0.109,79,43,0.695,0.665,935.5,140674,0.0675
Clay,11924,1272,51.54,0.1591,0.3253,0.0789,14515,0.1589,178,0.0854,0.79,0.77,0.76,0.74,0.231,883,43753,216,213,1.4848,0.9492,1529,1.87,0.0535,0.0701,0.1025,0.5441,0.163,0.143,0.2906,0.0896,0.175,0.16,116,17.8,0.43,0.43,789.3,183550,0.07
Cleveland,101172,4098,41.23,0.2079,0.2004,0.062,104633,-0.0768,872,-0.1323,0.77,0.66,0.74,0.7,0.246,979,45126,4463,4212,0.6638,0.7431,681,10.25,0.1598,0.1511,0.1285,0.4212,0.164,0.139,0.4011,0.104,0.134,0.135,246,36.8,0.6875,0.6875,767.2,111586,0.0675
Columbus,49935,-5390,42.25,0.2079,0.2091,0.0637,125177,-0.1127,447,-0.1304,0.77,0.67,0.65,0.66,0.292,876,44109,1449,1505,0.8315,0.8366,1364,10.94,0.2066,0.2196,0.1398,0.3002,0.17,0.145,0.4629,0.127,0.149,0.159,133,41.4,0.805,0.805,711,88317,0.0675
Craven,105175,1956,37.2,0.2434,0.1931,0.1272,100825,0.2392,292,0.1918,0.82,0.81,0.81,0.81,0.191,1021,54327,4984,5083,0.3486,0.4308,2046,25.15,0.1181,0.1195,0.0805,0.4593,0.147,0.12,0.2841,0.0936,0.113,0.13,201,88.1,0.4448,0.4448,599.9,134865,0.0675
Cumberland,343636,13614,33.34,0.2601,0.1491,0.1512,65919,-0.0012,327,-0.0268,0.89,0.84,0.82,0.82,0.212,1021,46024,17938,18159,0.4112,0.4826,1769,87.53,0.1272,0.1314,0.0577,0.468,0.163,0.141,0.3959,0.1059,0.112,0.119,190,55.4,0.799,0.799,592.8,74192,0.07
Currituck,33670,9007,43.82,0.1918,0.1787,0.0859,37917,-0.1543,87,-0.0225,0.89,0.83,0.89,0.86,0.117,841,59381,824,832,0.4894,0.4592,2881,13.04,0.0984,0.1241,0.0585,0.4991,0.121,0.089,0.1656,0.0369,0.124,0.12,72,28.8,0.62,0.56,1503.2,268431,0.0675
Dare,37786,2847,46.98,0.1673,0.2546,0.0848,115,-0.9785,18,-0.4375,0.93,0.91,0.9,0.9,0.108,862,76100,2593,2542,1.5632,0.8072,5723,28.31,0.1854,0.1302,0.0598,0.562,0.123,0.1,0.2014,0.0582,0.123,0.136,46,54,0.4005,0.4005,1856.7,463592,0.0675
Davidson,178071,14790,42.13,0.2,0.1959,0.055,73655,-0.2025,847,-0.1555,0.85,0.79,0.81,0.79,0.161,992,48523,5014,4953,0.3488,0.3434,1495,34.57,0.167,0.1553,0.1155,0.4173,0.153,0.127,0.2994,0.0842,0.135,0.145,239,60.3,0.54,0.54,572.3,105979,0.07
Davie,44800,3788,45.09,0.1825,0.2298,0.0598,74899,-0.0264,594,0.0051,0.91,0.84,0.87,0.83,0.151,958,60579,1417,1419,0.9461,0.9397,2261,13.54,0.1429,0.1498,0.1089,0.4522,0.148,0.119,0.2427,0.0679,0.123,0.134,203,46.7,0.773,0.773,999.3,129271,0.0675
Duplin,49683,-5278,35.84,0.2598,0.1549,0.0574,254164,0.0455,949,0.1573,0.76,0.65,0.68,0.67,0.296,883,52760,2127,2186,0.9312,0.641,1057,10,0.1815,0.1323,0.211,0.3728,0.165,0.13,0.4524,0.1009,0.196,0.212,77,25.5,0.735,0.735,754.1,102603,0.07
Durham,340727,46239,35.43,0.2231,0.1403,0.044,16166,-0.131,212,-0.1203,0.92,0.87,0.89,0.86,0.17,1767,59070,39751,38590,0.2978,0.318,4903,187.95,0.097,0.0777,0.0866,0.7212,0.122,0.096,0.2563,0.0606,0.125,0.135,188,41.1,0.7987,0.7522,1147.1,152505,0.075
Edgecombe,47637,-6177,44.45,0.2283,0.2415,0.0568,145050,-0.026,243,-0.0241,0.76,0.64,0.7,0.64,0.318,888,43507,1624,1589,0.5282,0.5961,2093,12.76,0.1835,0.1696,0.1186,0.3473,0.164,0.143,0.5593,0.1819,0.112,0.114,134,50.5,0.89,0.95,701.9,73889,0.07
Forsyth,396317,32110,38.08,0.2138,0.1761,0.0469,32956,-0.053,482,-0.1346,0.87,0.81,0.83,0.81,0.216,1225,57781,26512,25844,0.3279,0.3023,2999,163.4,0.1237,0.1181,0.1062,0.5537,0.145,0.116,0.3083,0.0837,0.129,0.122,192,48.7,0.6778,0.6778,784.1,115683,0.07
Franklin,80236,18271,42.23,0.2033,0.1936,0.0517,107923,-0.0004,518,-0.0372,0.87,0.79,0.8,0.78,0.157,1027,46330,1784,1755,0.4461,0.4574,2324,25.33,0.1427,0.1765,0.1295,0.4699,0.126,0.103,0.27,0.0648,0.131,0.146,103,43.1,0.505,0.785,781.4,99536,0.0675
Gaston,243242,31688,40.89,0.2099,0.1742,0.0553,36859,-0.0222,412,-0.2107,0.86,0.8,0.8,0.77,0.168,995,49674,8021,7897,0.6864,0.6667,1551,53,0.146,0.1403,0.0793,0.4962,0.144,0.123,0.3236,0.087,0.124,0.129,290,67.7,0.599,0.61,840.1,137718,0.07
Gates,10534,-816,42.82,0.1771,0.2278,0.0741,71866,0.2394,122,-0.1348,0.74,0.73,0.81,0.76,0.195,836,49850,184,201,1.0909,1.4138,2103,2.95,0.098,0.1255,0.0618,0.2777,0.143,0.116,0.2682,0.06,0.111,0.107,35,34.6,0.84,0.84,815.7,97111,0.0675
Graham,7718,-780,43.97,0.2113,0.2586,0.0507,2256,-0.7949,70,-0.4309,0.73,0.57,0.63,0.6,0.227,882,41336,229,232,0.4783,0.8444,1265,1.36,0.1274,0.1543,0.1402,0.3371,0.168,0.15,0.4371,0.1486,0.198,0.183,119,23.7,0.59,0.59,1287.5,218224,0.07
Granville,62881,5175,43.94,0.1809,0.1967,0.0483,102115,-0.1819,483,-0.1329,0.87,0.8,0.84,0.8,0.153,1075,46906,3309,3214,0.5813,0.7699,2272,19,0.1718,0.1827,0.144,0.4448,0.132,0.102,0.2756,0.0567,0.121,0.131,124,39.7,0.631,0.84,731.4,87069,0.0675
Greene,19939,-895,42.54,0.1965,0.1962,0.0461,97668,0.1722,210,0.0145,0.79,0.73,0.72,0.73,0.352,850,38963,420,457,0.6887,0.6419,1084,2.89,0.1678,0.205,0.2324,0.3045,0.17,0.136,0.3344,0.0944,0.205,0.206,138,23.7,0.786,0.786,542.6,69031,0.07
Guilford,553023,40463,38.24,0.2014,0.1737,0.0478,94798,0.2416,775,-0.0925,0.87,0.76,0.85,0.81,0.212,1137,55008,34425,34071,0.7137,0.6969,3432,260.23,0.0951,0.0979,0.0924,0.5766,0.137,0.11,0.3231,0.0875,0.118,0.119,191,42.4,0.7305,0.7305,952.9,130449,0.0675
Halifax,46342,-5576,45.3,0.2083,0.2427,0.0618,183565,-0.122,220,-0.3452,0.67,0.58,0.66,0.65,0.28,843,44768,1403,1429,0.5285,0.5902,898,5.69,0.2499,0.2543,0.1241,0.339,0.176,0.16,0.4697,0.1253,0.128,0.14,102,40,0.7,0.76,701.5,92297,0.07
Harnett,145438,20909,35.57,0.2531,0.1428,0.085,109179,0.0275,563,-0.1244,0.81,0.79,0.82,0.82,0.166,858,44192,2716,2723,0.4564,0.3767,1401,28.12,0.1273,0.1441,0.0925,0.4634,0.149,0.122,0.3003,0.0757,0.126,0.125,188,44.9,0.591,0.591,647.8,109614,0.07
Haywood,64109,4818,48.58,0.1699,0.2723,0.0777,49288,-0.0566,567,0.0481,0.8,0.72,0.76,0.75,0.185,900,50894,1957,1920,0.53,0.484,2456,17.4,0.1278,0.1347,0.0963,0.5021,0.153,0.129,0.2939,0.0785,0.134,0.128,108,56.2,0.55,0.55,880.7,160120,0.07
Henderson,121587,11790,49.12,0.1696,0.2912,0.0667,32743,-0.2033,520,0.1429,0.88,0.82,0.85,0.81,0.162,1009,55243,4386,4230,0.2767,0.4895,2476,33.13,0.1105,0.0997,0.0931,0.4753,0.146,0.112,0.2185,0.0627,0.137,0.15,125,36.6,0.431,0.431,878.9,203912,0.0675
Hertford,19564,-4159,40.22,0.1961,0.2185,0.0618,67209,-0.1693,97,-0.2302,0.76,0.65,0.7,0.68,0.351,914,41529,825,834,0.8944,1.0946,1867,4.25,0.2499,0.2664,0.1007,0.3509,0.156,0.132,0.4369,0.1313,0.119,0.124,42,29.6,0.84,0.84,775.3,92300,0.07
Hoke,56269,6308,32.94,0.2983,0.116,0.1165,36788,-0.3143,185,-0.0212,0.87,0.8,0.81,0.8,0.202,845,41181,1163,1110,0.8415,0.6499,N/A, N/A ,0.1623,0.1701,0.098,0.4375,0.157,0.133,0.3691,0.0981,0.139,0.154,112,41.6,0.73,0.73,636.2,87151,0.0675
